Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1620.0
FDW14,OUT017,1602.0
NCN55,OUT010,424.0
FDQ58,OUT017,2572.0
FDY38,OUT027,6060.0
FDH56,OUT046,1838.0
FDL48,OUT018,526.0
FDC48,OUT027,1912.0
FDN33,OUT045,1436.0
FDA36,OUT017,3036.0
FDT44,OUT017,2012.0
FDQ56,OUT045,1216.0
NCC54,OUT019,516.0
FDU11,OUT049,2140.0
DRL59,OUT013,964.0
FDM24,OUT049,2712.0
FDI57,OUT045,3654.0
DRC12,OUT018,2700.0
NCM42,OUT027,2886.0
FDA46,OUT010,550.0
FDA31,OUT013,3042.0
NCJ31,OUT035,3534.0
FDG52,OUT046,808.0
NCL19,OUT019,224.0
FDS10,OUT035,3114.0
FDX22,OUT010,332.0
NCF19,OUT035,912.0
NCE06,OUT046,2344.0
DRC27,OUT046,3770.0
FDE21,OUT035,1980.0
NCR42,OUT019,214.0
FDX51,OUT018,2812.0
NCR06,OUT018,652.0
FDU31,OUT027,5944.0
FDU59,OUT017,2600.0
FDR03,OUT027,5380.0
FDS49,OUT027,2242.0
FDD48,OUT010,28.0
NCF18,OUT017,2970.0
NCD43,OUT027,2804.0
NCD54,OUT018,1896.0
FDY19,OUT010,164.0
NCY54,OUT017,2612.0
NCL19,OUT018,1918.0
FDP23,OUT010,586.0
FDC26,OUT013,1896.0
FDR14,OUT010,266.0
NCS41,OUT035,3214.0
FDF41,OUT035,4056.0
FDU34,OUT046,1852.0
DRH11,OUT046,1052.0
FDM03,OUT013,2096.0
FDS31,OUT017,3204.0
FDJ20,OUT017,2014.0
FDV44,OUT027,5156.0
FDG02,OUT049,3116.0
FDA09,OUT013,3032.0
FDT04,OUT013,456.0
FDL58,OUT019,448.0
FDE52,OUT045,1312.0
FDW12,OUT035,2360.0
FDL51,OUT017,3702.0
NCY42,OUT027,3652.0
FDR07,OUT017,1592.0
FDN40,OUT045,2164.0
FDB35,OUT027,2206.0
FDA22,OUT017,2618.0
NCL06,OUT046,3638.0
FDI35,OUT013,2560.0
NCW42,OUT045,3228.0
NCX06,OUT049,3204.0
FDC37,OUT027,2588.0
FDZ14,OUT018,1880.0
DRG49,OUT049,4156.0
NCG06,OUT045,3740.0
DRC36,OUT045,3054.0
FDV21,OUT019,738.0
FDB53,OUT046,2422.0
DRP47,OUT019,442.0
FDA14,OUT013,2354.0
DRC24,OUT035,2498.0
FDW21,OUT018,1212.0
NCH29,OUT046,1832.0
FDU58,OUT013,3110.0
FDY27,OUT017,3108.0
FDV56,OUT035,1856.0
FDT59,OUT046,3984.0
FDB23,OUT046,3688.0
FDR49,OUT045,676.0
FDB03,OUT010,524.0
FDN39,OUT045,2224.0
FDX02,OUT027,5790.0
FDQ16,OUT027,2784.0
FDU35,OUT018,1704.0
NCT29,OUT013,1718.0
FDZ27,OUT046,700.0
FDN57,OUT017,2364.0
FDA03,OUT018,2052.0
FDZ36,OUT045,3064.0
NCU05,OUT013,1010.0
FDT39,OUT018,2176.0
FDK60,OUT017,1570.0
FDZ25,OUT017,3146.0
FDG12,OUT046,2388.0
DRB01,OUT019,510.0
NCC43,OUT027,6178.0
FDX13,OUT019,684.0
FDM22,OUT049,816.0
FDJ03,OUT027,1384.0
FDU14,OUT018,3648.0
FDB33,OUT010,356.0
FDP27,OUT046,3088.0
FDO38,OUT010,0.0
FDE28,OUT027,5764.0
FDO27,OUT035,1668.0
DRL23,OUT027,2660.0
FDS28,OUT046,982.0
FDX24,OUT013,1400.0
FDZ02,OUT035,1702.0
FDL46,OUT045,1518.0
FDS60,OUT027,4258.0
NCO06,OUT017,406.0
FDO16,OUT035,1132.0
FDC60,OUT049,1632.0
FDA48,OUT018,3180.0
FDZ36,OUT027,4704.0
FDK27,OUT045,1548.0
FDW23,OUT018,476.0
FDM14,OUT018,1464.0
FDM14,OUT013,1846.0
FDW60,OUT018,2520.0
FDE21,OUT013,2006.0
NCM42,OUT035,1820.0
FDY59,OUT010,0.0
DRI49,OUT049,1392.0
FDT28,OUT019,396.0
FDQ22,OUT018,450.0
FDR60,OUT049,1268.0
FDC50,OUT019,250.0
FDV24,OUT013,2562.0
DRF48,OUT010,356.0
FDQ47,OUT046,1052.0
DRN36,OUT049,1598.0
NCY06,OUT035,2212.0
FDE52,OUT035,1622.0
NCB54,OUT045,1764.0
NCF31,OUT035,2558.0
FDJ08,OUT027,5252.0
NCC07,OUT017,1742.0
NCD19,OUT027,1610.0
FDL46,OUT049,1826.0
FDM20,OUT045,3800.0
NCI06,OUT010,412.0
DRM11,OUT035,4096.0
NCH07,OUT018,2224.0
FDS23,OUT013,2192.0
FDO49,OUT018,168.0
FDS35,OUT049,1230.0
DRK39,OUT045,1634.0
DRI39,OUT049,1180.0
FDV04,OUT017,2444.0
NCN14,OUT035,2704.0
FDH08,OUT013,3974.0
FDS20,OUT046,2840.0
FDV40,OUT049,1152.0
FDZ48,OUT010,6.0
FDS24,OUT027,2064.0
FDK44,OUT049,3008.0
FDS48,OUT045,2134.0
FDK26,OUT010,306.0
FDD23,OUT045,3196.0
NCH54,OUT017,2554.0
NCP14,OUT010,414.0
FDM60,OUT010,0.0
FDV24,OUT017,2396.0
FDH08,OUT018,3248.0
FDS12,OUT027,3300.0
FDR39,OUT027,4706.0
FDP12,OUT027,914.0
