Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1272.5
FDW14,OUT017,1505.0
NCN55,OUT010,992.0
FDQ58,OUT017,2610.5
FDY38,OUT027,6178.125
FDH56,OUT046,1907.0
FDL48,OUT018,563.5
FDC48,OUT027,1584.5
FDN33,OUT045,1419.25
FDA36,OUT017,2903.5
FDT44,OUT017,1825.75
FDQ56,OUT045,926.25
NCC54,OUT019,821.25
FDU11,OUT049,2235.0
DRL59,OUT013,754.75
FDM24,OUT049,3134.0
FDI57,OUT045,4076.0
DRC12,OUT018,2810.5
NCM42,OUT027,2502.875
FDA46,OUT010,689.625
FDA31,OUT013,2923.0
NCJ31,OUT035,1318.5
FDG52,OUT046,615.625
NCL19,OUT019,261.125
FDS10,OUT035,3168.0
FDX22,OUT010,508.0
NCF19,OUT035,1101.625
NCE06,OUT046,2558.0
DRC27,OUT046,3607.5
FDE21,OUT035,1866.5
NCR42,OUT019,0.0
FDX51,OUT018,2625.75
NCR06,OUT018,521.625
FDU31,OUT027,6149.75
FDU59,OUT017,2206.5
FDR03,OUT027,5740.0
FDS49,OUT027,2431.625
FDD48,OUT010,0.0
NCF18,OUT017,2871.5
NCD43,OUT027,2547.875
NCD54,OUT018,2243.0
FDY19,OUT010,174.5
NCY54,OUT017,1726.0
NCL19,OUT018,1920.25
FDP23,OUT010,461.5
FDC26,OUT013,2539.5
FDR14,OUT010,432.0
NCS41,OUT035,3310.0
FDF41,OUT035,4409.0
FDU34,OUT046,2133.5
DRH11,OUT046,615.25
FDM03,OUT013,1855.5
FDS31,OUT017,3222.0
FDJ20,OUT017,2016.0
FDV44,OUT027,5327.875
FDG02,OUT049,3115.75
FDA09,OUT013,3274.0
FDT04,OUT013,493.0
FDL58,OUT019,145.0
FDE52,OUT045,1009.375
FDW12,OUT035,2575.75
FDL51,OUT017,3914.0
NCY42,OUT027,3485.75
FDR07,OUT017,1371.0
FDN40,OUT045,2042.5
FDB35,OUT027,2280.5
FDA22,OUT017,3372.75
NCL06,OUT046,3339.5
FDI35,OUT013,2492.25
NCW42,OUT045,3089.25
NCX06,OUT049,3433.0
FDC37,OUT027,2670.25
FDZ14,OUT018,1640.875
DRG49,OUT049,4621.75
NCG06,OUT045,3511.875
DRC36,OUT045,2705.875
FDV21,OUT019,0.0
FDB53,OUT046,2118.75
DRP47,OUT019,751.0
FDA14,OUT013,2203.0
DRC24,OUT035,2413.0
FDW21,OUT018,1432.125
NCH29,OUT046,2172.0
FDU58,OUT013,2821.625
FDY27,OUT017,2648.0
FDV56,OUT035,1986.5
FDT59,OUT046,5027.625
FDB23,OUT046,4179.0
FDR49,OUT045,558.25
FDB03,OUT010,798.0
FDN39,OUT045,1929.5
FDX02,OUT027,5946.75
FDQ16,OUT027,3079.5
FDU35,OUT018,1809.75
NCT29,OUT013,1469.125
FDZ27,OUT046,872.75
FDN57,OUT017,2372.5
FDA03,OUT018,2018.0
FDZ36,OUT045,3093.0
NCU05,OUT013,898.25
FDT39,OUT018,1997.125
FDK60,OUT017,1174.0
FDZ25,OUT017,3227.5
FDG12,OUT046,2423.375
DRB01,OUT019,219.0
NCC43,OUT027,5778.25
FDX13,OUT019,819.0
FDM22,OUT049,518.25
FDJ03,OUT027,1049.625
FDU14,OUT018,3572.5
FDB33,OUT010,376.5
FDP27,OUT046,3490.75
FDO38,OUT010,274.0
FDE28,OUT027,5329.875
FDO27,OUT035,769.0
DRL23,OUT027,2295.5
FDS28,OUT046,756.875
FDX24,OUT013,1477.0
FDZ02,OUT035,1617.0
FDL46,OUT045,1351.5
FDS60,OUT027,4478.0
NCO06,OUT017,62.0
FDO16,OUT035,1008.25
FDC60,OUT049,1854.5
FDA48,OUT018,3489.875
FDZ36,OUT027,4907.875
