Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2295.9133882352944
FDW14,OUT017,1524.4861764705881
NCN55,OUT010,650.8390823529412
FDQ58,OUT017,2194.398470588236
FDY38,OUT027,5206.8301529411765
FDH56,OUT046,2135.1031058823532
FDL48,OUT018,1011.7810117647061
FDC48,OUT027,2242.766882352941
FDN33,OUT045,1639.6695764705883
FDA36,OUT017,2867.2481176470587
FDT44,OUT017,1778.3126352941174
FDQ56,OUT045,1778.9392705882353
NCC54,OUT019,553.5539529411765
FDU11,OUT049,2199.294058823529
DRL59,OUT013,1273.7145647058824
FDM24,OUT049,2876.138505882353
FDI57,OUT045,3278.6733529411767
DRC12,OUT018,2633.473988235294
NCM42,OUT027,2877.7050941176467
FDA46,OUT010,425.4462
FDA31,OUT013,2570.536305882353
NCJ31,OUT035,2866.229835294118
FDG52,OUT046,991.7678470588236
NCL19,OUT019,319.85815294117646
FDS10,OUT035,2823.383647058824
FDX22,OUT010,458.61870588235297
NCF19,OUT035,1469.851411764706
NCE06,OUT046,2350.391494117647
DRC27,OUT046,3403.0212941176474
FDE21,OUT035,2198.0799529411765
NCR42,OUT019,184.26994117647058
FDX51,OUT018,2776.5426588235296
NCR06,OUT018,1053.6480823529412
FDU31,OUT027,5809.457482352941
FDU59,OUT017,1869.1355882352939
FDR03,OUT027,5272.470200000001
FDS49,OUT027,2724.884411764706
FDD48,OUT010,220.49729411764704
NCF18,OUT017,3146.531635294118
NCD43,OUT027,2809.715164705882
NCD54,OUT018,1885.193117647059
FDY19,OUT010,190.9279411764706
NCY54,OUT017,2496.319188235294
NCL19,OUT018,1784.9706352941175
FDP23,OUT010,521.9872000000001
FDC26,OUT013,2203.9546588235294
FDR14,OUT010,242.66451764705883
NCS41,OUT035,2759.975988235294
FDF41,OUT035,3998.8731294117647
FDU34,OUT046,2254.555458823529
DRH11,OUT046,1239.2496235294116
FDM03,OUT013,2108.5494352941178
FDS31,OUT017,3360.0576117647056
FDJ20,OUT017,1944.3709882352941
FDV44,OUT027,5430.734776470587
FDG02,OUT049,2904.2587647058826
FDA09,OUT013,3289.8744588235295
FDT04,OUT013,1020.6322352941177
FDL58,OUT019,509.6503176470588
FDE52,OUT045,1329.4067764705885
FDW12,OUT035,2674.9102470588236
FDL51,OUT017,3464.9406941176467
NCY42,OUT027,3389.6269647058825
FDR07,OUT017,1729.4742470588233
FDN40,OUT045,2016.1207294117648
FDB35,OUT027,2288.7070823529407
FDA22,OUT017,2502.5072117647055
NCL06,OUT046,3058.567705882353
FDI35,OUT013,3313.9999176470587
NCW42,OUT045,3159.2210000000005
NCX06,OUT049,3079.6774823529413
FDC37,OUT027,2556.7111647058823
FDZ14,OUT018,1544.7343294117647
DRG49,OUT049,3654.5762
NCG06,OUT045,3043.4501294117645
DRC36,OUT045,2529.1000470588233
FDV21,OUT019,328.0044117647058
FDB53,OUT046,2547.5466235294116
DRP47,OUT019,494.21942352941176
FDA14,OUT013,2483.982305882353
DRC24,OUT035,2247.23165882353
FDW21,OUT018,1737.4638470588234
NCH29,OUT046,2206.6570235294116
FDU58,OUT013,2350.313164705882
FDY27,OUT017,2720.6546235294118
FDV56,OUT035,2034.488976470588
FDT59,OUT046,3401.4155411764705
FDB23,OUT046,3855.8044588235293
FDR49,OUT045,1132.7607882352943
FDB03,OUT010,566.1258235294118
FDN39,OUT045,2611.6984117647057
FDX02,OUT027,5176.046694117647
FDQ16,OUT027,2426.3318588235297
FDU35,OUT018,1609.473588235294
NCT29,OUT013,1755.0879647058823
FDZ27,OUT046,1135.6198117647057
FDN57,OUT017,2475.2485764705884
FDA03,OUT018,1679.3042588235294
FDZ36,OUT045,3286.2713058823533
NCU05,OUT013,1362.540117647059
FDT39,OUT018,1932.5432470588237
FDK60,OUT017,1433.3107411764709
FDZ25,OUT017,3111.0875764705884
FDG12,OUT046,2161.069305882353
DRB01,OUT019,377.90024705882354
NCC43,OUT027,5755.958494117646
FDX13,OUT019,549.3633294117648
FDM22,OUT049,1377.6185294117647
FDJ03,OUT027,1854.801305882353
FDU14,OUT018,3631.390694117647
FDB33,OUT010,340.41962352941175
FDP27,OUT046,3428.2825294117647
FDO38,OUT010,217.44244705882352
FDE28,OUT027,5328.162411764707
FDO27,OUT035,1826.1327411764705
DRL23,OUT027,2984.507247058824
FDS28,OUT046,1580.4133764705884
FDX24,OUT013,1148.8574823529411
FDZ02,OUT035,1471.183011764706
FDL46,OUT045,1800.3623647058826
FDS60,OUT027,4412.804905882353
NCO06,OUT017,953.3472705882352
FDO16,OUT035,1920.088870588235
FDC60,OUT049,1447.9583411764706
FDA48,OUT018,3467.3689058823525
FDZ36,OUT027,4315.206458823529
FDK27,OUT045,1658.860282352941
FDW23,OUT018,1236.586423529412
FDM14,OUT018,1562.6717647058822
FDM14,OUT013,1722.1112823529413
FDW60,OUT018,2505.6795529411766
FDE21,OUT013,2012.7917294117647
NCM42,OUT035,2349.0598941176468
FDY59,OUT010,213.99595294117648
DRI49,OUT049,1610.139388235294
FDT28,OUT019,391.4512352941176
FDQ22,OUT018,1068.804823529412
FDR60,OUT049,1470.9088588235295
FDC50,OUT019,301.4115764705882
FDV24,OUT013,2801.0206
DRF48,OUT010,470.4856117647059
FDQ47,OUT046,1252.3306352941174
DRN36,OUT049,1669.708905882353
NCY06,OUT035,2896.034176470588
FDE52,OUT035,1497.4233647058825
NCB54,OUT045,1985.063117647059
NCF31,OUT035,2495.3792352941177
FDJ08,OUT027,5030.588976470587
NCC07,OUT017,1897.9999764705883
NCD19,OUT027,1645.6226117647059
FDL46,OUT049,2221.7746
FDM20,OUT045,2836.660482352941
NCI06,OUT010,415.89001176470583
DRM11,OUT035,3301.7022
NCH07,OUT018,2278.915905882353
FDS23,OUT013,2393.746823529412
FDO49,OUT018,772.1713411764706
FDS35,OUT049,1198.5966588235297
DRK39,OUT045,1353.258082352941
DRI39,OUT049,1025.8411411764707
FDV04,OUT017,2203.5238470588233
NCN14,OUT035,2955.016223529412
FDH08,OUT013,3515.110682352941
FDS20,OUT046,2925.8776823529415
FDV40,OUT049,1394.106870588235
FDZ48,OUT010,224.2962705882353
FDS24,OUT027,2427.7417882352943
FDK44,OUT049,3031.152411764706
FDS48,OUT045,2389.9870117647056
FDK26,OUT010,355.3413764705882
