Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1838.9921875
FDW14,OUT017,1520.09375
NCN55,OUT010,1882.6015625
FDQ58,OUT017,2577.4765625
FDY38,OUT027,5129.140625
FDH56,OUT046,1952.5546875
FDL48,OUT018,596.7421875
FDC48,OUT027,2782.8515625
FDN33,OUT045,1490.15625
FDA36,OUT017,3088.1796875
FDT44,OUT017,2021.75
FDQ56,OUT045,1333.0625
NCC54,OUT019,1870.359375
FDU11,OUT049,2054.4375
DRL59,OUT013,911.6484375
FDM24,OUT049,2552.03125
FDI57,OUT045,3270.375
DRC12,OUT018,2753.4609375
NCM42,OUT027,3185.5859375
FDA46,OUT010,1115.21875
FDA31,OUT013,2827.625
NCJ31,OUT035,3879.7421875
FDG52,OUT046,771.59375
NCL19,OUT019,374.6171875
FDS10,OUT035,3012.1796875
FDX22,OUT010,1450.1171875
NCF19,OUT035,911.671875
NCE06,OUT046,2522.0625
DRC27,OUT046,3862.984375
FDE21,OUT035,2057.140625
NCR42,OUT019,0.0
FDX51,OUT018,2868.2421875
NCR06,OUT018,417.703125
FDU31,OUT027,4980.1015625
FDU59,OUT017,2713.8125
FDR03,OUT027,4758.1171875
FDS49,OUT027,2778.609375
FDD48,OUT010,0.0
NCF18,OUT017,3106.859375
NCD43,OUT027,3091.4609375
NCD54,OUT018,1983.765625
FDY19,OUT010,0.0
NCY54,OUT017,2795.828125
NCL19,OUT018,2027.5703125
FDP23,OUT010,1539.03125
FDC26,OUT013,1841.1328125
FDR14,OUT010,0.0
NCS41,OUT035,3047.328125
FDF41,OUT035,4015.921875
FDU34,OUT046,1987.1171875
DRH11,OUT046,942.2734375
FDM03,OUT013,1730.28125
FDS31,OUT017,3057.5
FDJ20,OUT017,2127.40625
FDV44,OUT027,4523.4765625
FDG02,OUT049,3134.7109375
FDA09,OUT013,2934.7578125
FDT04,OUT013,644.3671875
FDL58,OUT019,2277.8828125
FDE52,OUT045,1392.8203125
FDW12,OUT035,2506.609375
FDL51,OUT017,3506.0859375
NCY42,OUT027,3682.40625
FDR07,OUT017,1694.40625
FDN40,OUT045,2329.03125
FDB35,OUT027,2976.328125
FDA22,OUT017,2756.7109375
NCL06,OUT046,4103.8125
FDI35,OUT013,2937.1875
NCW42,OUT045,3401.265625
NCX06,OUT049,2933.765625
FDC37,OUT027,3200.7734375
FDZ14,OUT018,1681.0390625
DRG49,OUT049,3944.0078125
NCG06,OUT045,3948.84375
DRC36,OUT045,2712.953125
FDV21,OUT019,30.53125
FDB53,OUT046,2320.4453125
DRP47,OUT019,2045.65625
FDA14,OUT013,2297.5625
DRC24,OUT035,2563.65625
FDW21,OUT018,1393.4609375
NCH29,OUT046,1571.359375
FDU58,OUT013,3066.03125
FDY27,OUT017,2885.703125
FDV56,OUT035,1984.3671875
FDT59,OUT046,3666.9609375
FDB23,OUT046,3648.90625
FDR49,OUT045,709.78125
FDB03,OUT010,1855.4140625
FDN39,OUT045,2629.546875
FDX02,OUT027,4932.859375
FDQ16,OUT027,3163.7578125
FDU35,OUT018,1328.359375
NCT29,OUT013,1979.296875
FDZ27,OUT046,769.78125
FDN57,OUT017,2339.03125
FDA03,OUT018,2044.3203125
FDZ36,OUT045,2920.203125
NCU05,OUT013,1342.78125
FDT39,OUT018,2189.546875
FDK60,OUT017,1708.3984375
FDZ25,OUT017,2875.9609375
FDG12,OUT046,2017.484375
DRB01,OUT019,1099.96875
NCC43,OUT027,5360.515625
FDX13,OUT019,2058.875
FDM22,OUT049,1017.2421875
FDJ03,OUT027,2256.9296875
FDU14,OUT018,3637.4453125
FDB33,OUT010,668.2734375
FDP27,OUT046,3007.6328125
FDO38,OUT010,0.0
FDE28,OUT027,5113.1484375
FDO27,OUT035,1692.25
DRL23,OUT027,3189.8203125
FDS28,OUT046,936.4140625
FDX24,OUT013,1543.28125
FDZ02,OUT035,1700.5625
FDL46,OUT045,1799.8359375
FDS60,OUT027,4300.140625
NCO06,OUT017,624.109375
FDO16,OUT035,1504.125
FDC60,OUT049,1540.515625
FDA48,OUT018,3192.59375
FDZ36,OUT027,4470.1640625
FDK27,OUT045,1881.5625
FDW23,OUT018,377.65625
FDM14,OUT018,1534.7734375
FDM14,OUT013,1813.5703125
FDW60,OUT018,2604.0234375
FDE21,OUT013,1942.3828125
NCM42,OUT035,1875.171875
FDY59,OUT010,0.0
DRI49,OUT049,1357.4765625
FDT28,OUT019,481.5390625
FDQ22,OUT018,394.3125
FDR60,OUT049,1325.6875
FDC50,OUT019,0.0
FDV24,OUT013,2438.984375
DRF48,OUT010,1075.59375
FDQ47,OUT046,642.90625
DRN36,OUT049,1647.4140625
NCY06,OUT035,2165.109375
FDE52,OUT035,1597.1171875
NCB54,OUT045,1957.34375
NCF31,OUT035,2541.171875
FDJ08,OUT027,4476.859375
NCC07,OUT017,1786.6953125
NCD19,OUT027,2319.5
FDL46,OUT049,2013.8046875
FDM20,OUT045,3857.4296875
NCI06,OUT010,916.5859375
DRM11,OUT035,4238.2109375
NCH07,OUT018,2198.796875
FDS23,OUT013,2085.7890625
FDO49,OUT018,602.0390625
FDS35,OUT049,1161.3125
DRK39,OUT045,1270.2734375
DRI39,OUT049,1046.0
FDV04,OUT017,2609.328125
NCN14,OUT035,3013.828125
FDH08,OUT013,3728.7265625
FDS20,OUT046,2938.875
FDV40,OUT049,1314.625
FDZ48,OUT010,0.0
FDS24,OUT027,2913.390625
FDK44,OUT049,2880.9765625
FDS48,OUT045,2349.4765625
FDK26,OUT010,1131.390625
FDD23,OUT045,2990.546875
NCH54,OUT017,2634.03125
NCP14,OUT010,0.0
FDM60,OUT010,0.0
FDV24,OUT017,2504.65625
FDH08,OUT018,3384.53125
FDS12,OUT027,3460.875
FDR39,OUT027,4312.828125
FDP12,OUT027,2122.4765625
DRF60,OUT027,5164.78125
FDC09,OUT035,1883.5703125
FDF50,OUT018,2879.9375
FDG28,OUT035,4016.6484375
NCE19,OUT017,977.171875
NCM53,OUT010,0.0
NCN18,OUT049,1861.203125
FDF32,OUT035,3329.890625
FDF11,OUT013,3892.296875
DRI59,OUT049,3667.7421875
NCG54,OUT035,2796.296875
FDM44,OUT046,1675.03125
FDT57,OUT018,3459.125
FDV24,OUT046,2399.0546875
FDI50,OUT019,1786.6875
FDS09,OUT035,1023.125
NCC31,OUT027,3887.4375
FDQ07,OUT019,1624.46875
FDC22,OUT017,3157.0078125
FDZ56,OUT046,2734.8828125
FDZ40,OUT019,0.0
FDS46,OUT027,3385.6796875
DRD24,OUT045,2159.75
FDV45,OUT017,3100.5625
FDL26,OUT045,2436.1953125
FDA56,OUT018,1740.6015625
FDN27,OUT046,1904.203125
FDM20,OUT049,4005.3671875
FDO16,OUT017,1436.5234375
FDL03,OUT035,3299.4921875
FDE58,OUT046,1871.1875
FDI02,OUT027,3306.9765625
NCC55,OUT019,0.0
FDR03,OUT018,3041.734375
FDB14,OUT017,1660.015625
FDR45,OUT013,3837.3203125
NCN07,OUT017,2173.609375
FDM51,OUT019,0.0
FDT52,OUT027,5338.5703125
FDL26,OUT046,2482.734375
NCZ42,OUT046,3753.6875
DRI47,OUT019,445.0625
FDW40,OUT013,2287.5703125
FDN34,OUT046,2741.6328125
FDS01,OUT035,3017.375
NCG55,OUT045,1765.3984375
FDC11,OUT035,1559.640625
FDX35,OUT018,3346.703125
NCB06,OUT046,2539.21875
FDR09,OUT019,2182.375
FDC53,OUT017,1658.421875
FDY45,OUT013,4069.390625
FDA22,OUT010,771.1953125
FDE02,OUT035,1692.4296875
FDW21,OUT045,1604.5234375
FDV34,OUT046,1249.1796875
FDS59,OUT049,1907.3984375
NCW17,OUT017,2156.390625
NCK54,OUT046,1853.34375
FDG17,OUT019,1985.53125
FDG35,OUT017,2938.6015625
FDD08,OUT010,0.0
NCO07,OUT017,3443.2734375
FDJ10,OUT010,350.140625
FDW36,OUT017,1783.5
FDW21,OUT010,0.0
FDY19,OUT017,2035.890625
DRE03,OUT013,827.4296875
NCC55,OUT049,709.2109375
FDH52,OUT010,0.0
FDO09,OUT017,4294.5390625
FDU43,OUT045,3789.4921875
FDX09,OUT010,850.3046875
FDH40,OUT019,0.0
FDW58,OUT017,1793.5078125
FDC47,OUT017,3671.6015625
NCR41,OUT035,1674.921875
DRG49,OUT035,3983.265625
FDC52,OUT027,3885.890625
FDY13,OUT046,1253.7578125
FDY35,OUT013,835.9375
FDI35,OUT017,3018.546875
NCU18,OUT049,2319.7734375
FDY33,OUT018,2268.125
FDC15,OUT027,3875.4296875
FDU01,OUT049,3145.1953125
NCU42,OUT046,2670.90625
NCV29,OUT018,2547.734375
NCY30,OUT017,2981.9375
FDQ46,OUT049,1875.8671875
FDG58,OUT027,3924.8125
FDK33,OUT017,3486.078125
NCD07,OUT045,1751.1171875
NCX29,OUT027,3737.3203125
NCT42,OUT013,2369.3984375
DRN59,OUT035,916.515625
FDI44,OUT035,1450.140625
FDA45,OUT049,2890.421875
FDP31,OUT045,1053.46875
FDY01,OUT046,1886.4765625
FDT09,OUT018,1893.6015625
DRH03,OUT027,2996.703125
FDA36,OUT018,2703.046875
NCF31,OUT017,2513.984375
FDG14,OUT049,2581.2265625
FDG28,OUT027,5347.328125
FDU14,OUT049,4007.8046875
FDY47,OUT019,248.546875
FDI56,OUT049,1581.6328125
DRD01,OUT013,983.0078125
FDM22,OUT046,961.09375
FDH33,OUT013,716.296875
DRZ24,OUT013,1899.2109375
NCQ38,OUT046,1689.296875
FDO16,OUT027,2800.5
FDU07,OUT027,3860.6796875
NCB07,OUT013,3073.625
FDU48,OUT045,2047.5703125
NCM43,OUT045,2549.984375
FDR31,OUT010,464.7734375
DRK49,OUT018,401.03125
NCI30,OUT010,1912.53125
DRD60,OUT017,2963.3359375
NCG19,OUT046,3658.078125
FDH12,OUT035,1829.6640625
FDM32,OUT035,1671.3046875
FDM27,OUT035,2644.3203125
NCU53,OUT027,4096.3125
NCQ18,OUT046,1541.0703125
FDS10,OUT013,2874.0625
FDB33,OUT027,4002.2265625
FDI12,OUT013,1456.109375
NCW42,OUT013,3498.6171875
NCC06,OUT018,1754.625
FDW02,OUT017,2120.1953125
NCD43,OUT017,1760.1796875
FDM57,OUT018,1098.2265625
FDA58,OUT017,3825.546875
FDK56,OUT046,2949.7890625
FDP52,OUT045,3620.6015625
FDW20,OUT018,1751.421875
FDS52,OUT049,1705.9140625
NCT29,OUT018,1635.03125
NCL54,OUT013,2792.734375
FDC05,OUT045,3077.875
FDF34,OUT035,3310.34375
FDP03,OUT027,3485.7734375
FDD32,OUT010,0.0
FDZ10,OUT045,1980.1953125
FDZ40,OUT035,1022.0859375
FDD51,OUT018,393.421875
NCY30,OUT019,932.21875
FDP58,OUT017,3521.265625
FDV49,OUT017,4313.53125
FDY24,OUT019,0.0
NCO55,OUT017,1800.421875
FDR13,OUT017,2055.7109375
FDS51,OUT017,1135.546875
FDP26,OUT045,1544.3671875
NCB54,OUT027,3512.578125
FDF32,OUT017,3259.0859375
FDN31,OUT018,2750.859375
DRM48,OUT017,681.640625
FDN20,OUT049,2827.078125
DRL01,OUT046,3723.09375
FDV56,OUT049,1910.8828125
DRH13,OUT027,3168.7109375
FDA03,OUT017,2426.3203125
FDF47,OUT027,5003.3671875
FDX32,OUT046,2398.84375
FDX57,OUT049,1692.3125
NCA30,OUT045,2896.484375
FDO49,OUT013,913.5546875
FDL04,OUT019,0.0
DRM48,OUT035,740.0703125
FDR16,OUT013,3394.59375
NCC19,OUT018,2729.828125
NCE42,OUT045,3631.515625
FDY24,OUT017,1037.265625
FDH19,OUT049,2894.8203125
FDJ46,OUT013,2781.359375
FDN45,OUT010,1596.484375
FDY08,OUT035,2419.7109375
FDZ37,OUT035,1630.2890625
NCT30,OUT045,680.546875
DRY23,OUT018,433.3828125
NCZ30,OUT018,1646.0546875
FDC44,OUT018,1540.9921875
FDB45,OUT035,1872.7109375
FDY04,OUT013,2649.78125
FDM27,OUT046,2591.59375
FDZ43,OUT017,3991.0625
FDT39,OUT019,570.59375
NCC06,OUT019,108.484375
FDL15,OUT027,3902.359375
FDL57,OUT017,4200.703125
FDU08,OUT046,1634.015625
FDK40,OUT017,4256.921875
FDQ12,OUT010,1719.2109375
FDS48,OUT017,2526.0859375
FDP09,OUT045,3287.21875
FDW21,OUT049,1743.109375
FDY25,OUT035,3055.0390625
DRE13,OUT017,1476.2734375
FDV43,OUT019,0.0
FDD22,OUT045,1704.4609375
FDM46,OUT019,0.0
NCO30,OUT010,1003.2734375
FDM25,OUT046,2812.71875
NCN41,OUT049,2060.765625
FDU24,OUT045,1459.09375
FDZ50,OUT046,2905.640625
FDP45,OUT013,4043.8046875
NCM54,OUT045,1916.8984375
FDW10,OUT019,869.734375
FDP20,OUT017,2188.046875
FDK32,OUT046,2485.640625
FDN52,OUT049,1513.0
FDM58,OUT045,1766.3515625
FDZ46,OUT027,3218.375
NCA18,OUT018,1566.34375
FDD35,OUT046,1985.921875
NCK31,OUT035,960.3203125
FDI40,OUT027,3067.453125
FDT50,OUT019,0.0
NCT06,OUT046,2591.640625
FDT31,OUT035,3171.578125
FDT45,OUT049,970.953125
FDT13,OUT045,2940.0390625
FDO50,OUT045,1425.359375
NCU18,OUT010,296.0
NCR54,OUT049,3144.96875
NCO18,OUT018,2527.6640625
FDU09,OUT045,893.03125
FDT13,OUT018,2738.3125
FDE09,OUT046,1846.0859375
NCK53,OUT019,0.0
FDG45,OUT049,3522.875
DRH15,OUT035,882.5
FDO21,OUT019,1701.5234375
FDD14,OUT027,4369.734375
FDC09,OUT046,1739.796875
FDH45,OUT027,2239.9296875
FDV32,OUT046,1091.4453125
FDG12,OUT035,2114.5390625
FDS32,OUT013,2352.6484375
NCL55,OUT018,3668.5546875
DRE01,OUT035,3934.9609375
DRE15,OUT049,1361.03125
NCL42,OUT045,3801.734375
FDP31,OUT013,1127.5546875
FDN33,OUT018,1247.8828125
FDZ59,OUT046,2653.6796875
FDE45,OUT010,954.984375
FDJ07,OUT013,1944.84375
FDQ45,OUT018,2697.4609375
FDM33,OUT027,4900.609375
FDO15,OUT010,0.0
FDM46,OUT013,1487.09375
FDR03,OUT045,3248.125
FDY49,OUT018,2454.234375
FDQ60,OUT045,1865.2890625
FDW10,OUT049,2904.328125
FDO51,OUT049,895.9296875
FDJ40,OUT018,1491.421875
FDS20,OUT018,2648.5625
FDU45,OUT013,1877.796875
FDV02,OUT035,2789.53125
FDN09,OUT046,3826.4296875
NCM55,OUT027,4391.2109375
FDN23,OUT018,2075.171875
FDY31,OUT010,436.609375
FDW03,OUT010,0.0
FDD14,OUT046,2907.5625
FDV23,OUT017,2111.1640625
DRI03,OUT045,2729.1171875
FDN13,OUT035,1728.4921875
FDF45,OUT027,2525.109375
FDU46,OUT035,1608.65625
FDB57,OUT049,3702.03125
FDV12,OUT049,1767.078125
FDQ58,OUT013,2443.125
NCA18,OUT017,1929.65625
FDH52,OUT049,1141.4140625
FDM24,OUT018,2154.0625
NCP43,OUT027,4316.140625
NCO18,OUT019,883.609375
FDM32,OUT017,1623.9375
NCL07,OUT017,740.3359375
FDK03,OUT013,4019.46875
FDP59,OUT017,1804.203125
