Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1829.5
FDW14,OUT017,1489.5
NCN55,OUT010,1958.75
FDQ58,OUT017,2546.25
FDY38,OUT027,5150.0
FDH56,OUT046,1977.25
FDL48,OUT018,581.75
FDC48,OUT027,2732.0
FDN33,OUT045,1477.75
FDA36,OUT017,3047.75
FDT44,OUT017,2027.5
FDQ56,OUT045,1323.25
NCC54,OUT019,1885.25
FDU11,OUT049,2055.5
DRL59,OUT013,921.5
FDM24,OUT049,2545.5
FDI57,OUT045,3275.75
DRC12,OUT018,2767.25
NCM42,OUT027,3211.5
FDA46,OUT010,1126.75
FDA31,OUT013,2847.0
NCJ31,OUT035,3981.75
FDG52,OUT046,744.0
NCL19,OUT019,408.75
FDS10,OUT035,3013.5
FDX22,OUT010,1448.0
NCF19,OUT035,940.75
NCE06,OUT046,2580.75
DRC27,OUT046,3872.5
FDE21,OUT035,2057.75
NCR42,OUT019,0.0
FDX51,OUT018,2898.5
NCR06,OUT018,442.0
FDU31,OUT027,5006.0
FDU59,OUT017,2708.5
FDR03,OUT027,4789.0
FDS49,OUT027,2748.5
FDD48,OUT010,0.0
NCF18,OUT017,3166.75
NCD43,OUT027,3117.75
NCD54,OUT018,2040.75
FDY19,OUT010,1.5
NCY54,OUT017,2853.75
NCL19,OUT018,2083.75
FDP23,OUT010,1541.75
FDC26,OUT013,1832.75
FDR14,OUT010,0.0
NCS41,OUT035,3050.75
FDF41,OUT035,4027.25
FDU34,OUT046,1990.0
DRH11,OUT046,954.5
FDM03,OUT013,1748.5
FDS31,OUT017,3076.75
FDJ20,OUT017,2152.0
FDV44,OUT027,4543.5
FDG02,OUT049,3126.0
FDA09,OUT013,2939.75
FDT04,OUT013,618.75
FDL58,OUT019,2285.0
FDE52,OUT045,1366.25
FDW12,OUT035,2489.75
FDL51,OUT017,3516.0
NCY42,OUT027,3713.0
FDR07,OUT017,1697.75
FDN40,OUT045,2299.25
FDB35,OUT027,3067.5
FDA22,OUT017,2840.75
NCL06,OUT046,4189.75
FDI35,OUT013,3038.5
NCW42,OUT045,3464.75
NCX06,OUT049,2996.5
FDC37,OUT027,3165.0
FDZ14,OUT018,1670.0
DRG49,OUT049,3965.25
NCG06,OUT045,4012.75
DRC36,OUT045,2722.75
FDV21,OUT019,27.5
FDB53,OUT046,2322.5
DRP47,OUT019,2101.5
FDA14,OUT013,2290.0
DRC24,OUT035,2567.0
FDW21,OUT018,1373.75
NCH29,OUT046,1554.75
FDU58,OUT013,3069.25
FDY27,OUT017,2855.75
FDV56,OUT035,1999.75
FDT59,OUT046,3691.0
FDB23,OUT046,3779.5
FDR49,OUT045,678.25
FDB03,OUT010,1900.0
FDN39,OUT045,2652.75
FDX02,OUT027,4931.75
FDQ16,OUT027,3137.75
FDU35,OUT018,1320.5
NCT29,OUT013,1974.0
FDZ27,OUT046,733.0
FDN57,OUT017,2323.25
FDA03,OUT018,2049.75
FDZ36,OUT045,2904.25
NCU05,OUT013,1327.75
FDT39,OUT018,2205.75
FDK60,OUT017,1689.0
FDZ25,OUT017,2872.25
FDG12,OUT046,1997.75
DRB01,OUT019,1093.5
NCC43,OUT027,5424.75
FDX13,OUT019,2044.0
FDM22,OUT049,1008.0
FDJ03,OUT027,2233.5
FDU14,OUT018,3642.0
FDB33,OUT010,674.0
FDP27,OUT046,3042.5
FDO38,OUT010,0.0
FDE28,OUT027,5126.25
FDO27,OUT035,1720.75
DRL23,OUT027,3204.0
FDS28,OUT046,920.25
FDX24,OUT013,1501.0
FDZ02,OUT035,1681.25
FDL46,OUT045,1784.0
FDS60,OUT027,4284.25
NCO06,OUT017,656.75
FDO16,OUT035,1459.25
FDC60,OUT049,1525.75
FDA48,OUT018,3193.25
FDZ36,OUT027,4448.0
FDK27,OUT045,1873.75
FDW23,OUT018,330.75
FDM14,OUT018,1513.25
FDM14,OUT013,1792.5
FDW60,OUT018,2588.5
FDE21,OUT013,1944.5
NCM42,OUT035,1907.25
FDY59,OUT010,0.0
DRI49,OUT049,1370.75
FDT28,OUT019,450.0
FDQ22,OUT018,365.5
FDR60,OUT049,1307.5
FDC50,OUT019,0.0
FDV24,OUT013,2417.75
DRF48,OUT010,1059.5
FDQ47,OUT046,657.0
DRN36,OUT049,1646.0
NCY06,OUT035,2216.25
FDE52,OUT035,1579.25
NCB54,OUT045,1936.25
NCF31,OUT035,2588.75
FDJ08,OUT027,4496.25
NCC07,OUT017,1822.25
NCD19,OUT027,2335.75
FDL46,OUT049,2004.75
FDM20,OUT045,3873.5
NCI06,OUT010,967.25
DRM11,OUT035,4281.5
NCH07,OUT018,2258.75
FDS23,OUT013,2091.25
FDO49,OUT018,561.5
FDS35,OUT049,1159.25
DRK39,OUT045,1222.5
DRI39,OUT049,1022.25
FDV04,OUT017,2603.5
NCN14,OUT035,3091.75
FDH08,OUT013,3746.5
FDS20,OUT046,2960.0
FDV40,OUT049,1287.0
FDZ48,OUT010,0.0
FDS24,OUT027,2897.75
FDK44,OUT049,2916.75
FDS48,OUT045,2313.75
FDK26,OUT010,1125.0
FDD23,OUT045,3092.5
NCH54,OUT017,2680.25
NCP14,OUT010,0.0
FDM60,OUT010,0.0
FDV24,OUT017,2470.75
FDH08,OUT018,3401.0
FDS12,OUT027,3441.5
FDR39,OUT027,4341.0
FDP12,OUT027,2081.75
DRF60,OUT027,5174.5
FDC09,OUT035,1899.0
FDF50,OUT018,2880.25
FDG28,OUT035,4026.0
NCE19,OUT017,1000.25
NCM53,OUT010,0.0
NCN18,OUT049,1898.25
FDF32,OUT035,3357.0
FDF11,OUT013,4011.0
DRI59,OUT049,3709.5
NCG54,OUT035,2854.25
FDM44,OUT046,1681.25
FDT57,OUT018,3465.25
FDV24,OUT046,2384.0
FDI50,OUT019,1778.5
FDS09,OUT035,1007.75
NCC31,OUT027,3923.25
FDQ07,OUT019,1657.5
FDC22,OUT017,3163.75
FDZ56,OUT046,2758.0
FDZ40,OUT019,0.0
FDS46,OUT027,3382.75
DRD24,OUT045,2148.25
FDV45,OUT017,3091.25
FDL26,OUT045,2427.25
FDA56,OUT018,1737.0
FDN27,OUT046,1928.25
FDM20,OUT049,4035.25
FDO16,OUT017,1380.25
FDL03,OUT035,3341.0
FDE58,OUT046,1869.5
FDI02,OUT027,3309.5
NCC55,OUT019,0.0
FDR03,OUT018,3079.5
FDB14,OUT017,1657.25
FDR45,OUT013,3841.5
NCN07,OUT017,2221.25
FDM51,OUT019,0.0
FDT52,OUT027,5342.5
FDL26,OUT046,2490.0
NCZ42,OUT046,3821.75
DRI47,OUT019,449.0
FDW40,OUT013,2292.0
FDN34,OUT046,2753.25
FDS01,OUT035,3006.5
NCG55,OUT045,1803.25
FDC11,OUT035,1662.75
FDX35,OUT018,3376.0
NCB06,OUT046,2555.75
FDR09,OUT019,2190.0
FDC53,OUT017,1607.75
FDY45,OUT013,4080.0
FDA22,OUT010,866.0
FDE02,OUT035,1676.75
FDW21,OUT045,1575.25
FDV34,OUT046,1238.0
FDS59,OUT049,1924.5
NCW17,OUT017,2139.25
NCK54,OUT046,1901.75
FDG17,OUT019,1971.5
FDG35,OUT017,3041.75
FDD08,OUT010,0.0
NCO07,OUT017,3492.25
FDJ10,OUT010,358.5
FDW36,OUT017,1740.25
FDW21,OUT010,0.0
FDY19,OUT017,2036.5
DRE03,OUT013,794.25
NCC55,OUT049,743.25
FDH52,OUT010,0.0
FDO09,OUT017,4321.5
FDU43,OUT045,3831.5
FDX09,OUT010,840.5
FDH40,OUT019,0.0
FDW58,OUT017,1766.75
FDC47,OUT017,3678.25
NCR41,OUT035,1661.75
DRG49,OUT035,3999.25
FDC52,OUT027,3872.25
FDY13,OUT046,1232.5
FDY35,OUT013,835.75
FDI35,OUT017,3107.25
NCU18,OUT049,2377.75
FDY33,OUT018,2283.5
FDC15,OUT027,3881.0
FDU01,OUT049,3162.5
NCU42,OUT046,2724.75
NCV29,OUT018,2545.5
NCY30,OUT017,3033.25
FDQ46,OUT049,1865.5
FDG58,OUT027,3926.5
FDK33,OUT017,3477.75
NCD07,OUT045,1783.25
NCX29,OUT027,3729.0
NCT42,OUT013,2410.0
DRN59,OUT035,927.75
FDI44,OUT035,1458.25
FDA45,OUT049,2916.25
FDP31,OUT045,1078.5
FDY01,OUT046,1906.75
FDT09,OUT018,1892.5
DRH03,OUT027,2959.0
FDA36,OUT018,2674.5
NCF31,OUT017,2550.75
FDG14,OUT049,2586.0
FDG28,OUT027,5351.0
FDU14,OUT049,4022.0
FDY47,OUT019,242.5
FDI56,OUT049,1586.25
DRD01,OUT013,981.75
FDM22,OUT046,948.5
FDH33,OUT013,697.5
DRZ24,OUT013,1894.0
NCQ38,OUT046,1745.25
FDO16,OUT027,2749.5
FDU07,OUT027,3865.0
NCB07,OUT013,3146.25
FDU48,OUT045,2020.5
NCM43,OUT045,2600.25
FDR31,OUT010,476.75
DRK49,OUT018,381.0
NCI30,OUT010,1988.25
DRD60,OUT017,2960.5
NCG19,OUT046,3755.75
FDH12,OUT035,1799.75
FDM32,OUT035,1675.5
FDM27,OUT035,2689.0
NCU53,OUT027,4074.5
NCQ18,OUT046,1605.25
FDS10,OUT013,2876.75
FDB33,OUT027,4009.5
FDI12,OUT013,1440.0
NCW42,OUT013,3572.5
NCC06,OUT018,1806.0
FDW02,OUT017,2093.0
NCD43,OUT017,1781.75
FDM57,OUT018,1092.5
FDA58,OUT017,3825.5
FDK56,OUT046,2983.0
FDP52,OUT045,3622.5
FDW20,OUT018,1763.75
FDS52,OUT049,1672.0
NCT29,OUT018,1628.5
NCL54,OUT013,2854.75
FDC05,OUT045,3081.0
FDF34,OUT035,3314.25
FDP03,OUT027,3496.25
FDD32,OUT010,0.0
FDZ10,OUT045,1955.75
FDZ40,OUT035,978.75
FDD51,OUT018,367.5
NCY30,OUT019,974.25
FDP58,OUT017,3524.0
FDV49,OUT017,4307.75
FDY24,OUT019,0.0
NCO55,OUT017,1845.25
FDR13,OUT017,2035.25
FDS51,OUT017,1120.0
FDP26,OUT045,1519.5
NCB54,OUT027,3494.5
FDF32,OUT017,3275.0
FDN31,OUT018,2772.0
DRM48,OUT017,661.0
FDN20,OUT049,2851.25
DRL01,OUT046,3762.25
FDV56,OUT049,1931.25
DRH13,OUT027,3146.75
FDA03,OUT017,2420.0
FDF47,OUT027,5121.25
FDX32,OUT046,2440.5
FDX57,OUT049,1696.0
NCA30,OUT045,2965.25
FDO49,OUT013,874.0
FDL04,OUT019,0.0
DRM48,OUT035,730.5
FDR16,OUT013,3403.5
NCC19,OUT018,2789.5
NCE42,OUT045,3694.25
FDY24,OUT017,1002.0
FDH19,OUT049,2925.0
FDJ46,OUT013,2775.0
FDN45,OUT010,1620.75
FDY08,OUT035,2455.75
FDZ37,OUT035,1611.5
NCT30,OUT045,702.75
DRY23,OUT018,432.25
NCZ30,OUT018,1681.75
FDC44,OUT018,1566.5
FDB45,OUT035,1880.0
FDY04,OUT013,2653.75
FDM27,OUT046,2622.0
FDZ43,OUT017,4021.5
FDT39,OUT019,564.5
NCC06,OUT019,139.25
FDL15,OUT027,3917.25
FDL57,OUT017,4219.75
FDU08,OUT046,1636.5
FDK40,OUT017,4238.75
FDQ12,OUT010,1704.25
FDS48,OUT017,2492.25
FDP09,OUT045,3286.25
FDW21,OUT049,1727.5
FDY25,OUT035,3047.5
DRE13,OUT017,1442.75
FDV43,OUT019,0.0
FDD22,OUT045,1682.25
FDM46,OUT019,0.0
NCO30,OUT010,1056.25
FDM25,OUT046,2807.5
NCN41,OUT049,2062.75
FDU24,OUT045,1436.5
FDZ50,OUT046,2923.75
FDP45,OUT013,4070.0
NCM54,OUT045,1960.25
FDW10,OUT019,862.5
FDP20,OUT017,2191.25
FDK32,OUT046,2522.25
FDN52,OUT049,1509.0
FDM58,OUT045,1751.5
FDZ46,OUT027,3191.5
NCA18,OUT018,1609.5
FDD35,OUT046,2077.25
NCK31,OUT035,993.25
FDI40,OUT027,3056.25
FDT50,OUT019,0.0
NCT06,OUT046,2656.75
FDT31,OUT035,3192.5
FDT45,OUT049,952.0
FDT13,OUT045,2925.75
FDO50,OUT045,1402.5
NCU18,OUT010,345.25
NCR54,OUT049,3219.75
NCO18,OUT018,2581.75
FDU09,OUT045,866.5
FDT13,OUT018,2734.0
FDE09,OUT046,1848.75
NCK53,OUT019,0.0
FDG45,OUT049,3539.0
DRH15,OUT035,846.75
FDO21,OUT019,1691.5
FDD14,OUT027,4386.25
FDC09,OUT046,1763.0
FDH45,OUT027,2248.5
FDV32,OUT046,1093.25
FDG12,OUT035,2086.5
FDS32,OUT013,2380.0
NCL55,OUT018,3748.75
DRE01,OUT035,3967.5
DRE15,OUT049,1329.0
NCL42,OUT045,3868.25
FDP31,OUT013,1162.75
FDN33,OUT018,1244.75
FDZ59,OUT046,2656.25
FDE45,OUT010,964.0
FDJ07,OUT013,1943.5
FDQ45,OUT018,2699.75
FDM33,OUT027,4907.0
FDO15,OUT010,0.0
FDM46,OUT013,1477.0
FDR03,OUT045,3276.0
FDY49,OUT018,2461.25
FDQ60,OUT045,1842.5
FDW10,OUT049,2907.5
FDO51,OUT049,901.0
FDJ40,OUT018,1480.25
FDS20,OUT018,2662.75
FDU45,OUT013,1877.25
FDV02,OUT035,2785.0
FDN09,OUT046,3841.75
NCM55,OUT027,4456.0
FDN23,OUT018,2089.75
FDY31,OUT010,433.0
FDW03,OUT010,0.0
FDD14,OUT046,2937.5
FDV23,OUT017,2105.75
DRI03,OUT045,2694.5
FDN13,OUT035,1709.25
FDF45,OUT027,2527.25
FDU46,OUT035,1592.0
FDB57,OUT049,3750.5
FDV12,OUT049,1751.25
FDQ58,OUT013,2424.0
NCA18,OUT017,1960.75
FDH52,OUT049,1113.5
FDM24,OUT018,2142.75
NCP43,OUT027,4377.25
NCO18,OUT019,916.75
FDM32,OUT017,1617.0
NCL07,OUT017,764.25
FDK03,OUT013,4044.0
FDP59,OUT017,1812.25
FDQ24,OUT049,4075.0
FDQ16,OUT018,1445.5
FDU44,OUT013,2691.25
FDH28,OUT010,0.0
FDV28,OUT019,0.0
FDM22,OUT045,839.75
FDR56,OUT046,3222.75
FDV39,OUT049,3256.0
FDU37,OUT019,0.0
FDQ11,OUT010,2225.5
FDX02,OUT045,3415.5
NCS42,OUT018,1218.5
FDY57,OUT027,3000.75
FDB21,OUT049,3965.5
FDE28,OUT017,3741.0
FDQ55,OUT017,2014.5
FDA48,OUT049,3610.0
FDZ19,OUT045,2727.75
NCC43,OUT045,3931.25
NCV18,OUT046,1327.25
NCA42,OUT018,2270.5
FDY45,OUT046,4068.75
NCC30,OUT045,2792.75
FDM57,OUT013,1439.5
FDL09,OUT010,763.0
FDB09,OUT027,3486.5
FDT44,OUT035,2086.0
NCT06,OUT027,4084.25
FDX26,OUT049,2959.75
FDK32,OUT013,2578.25
DRA12,OUT046,2266.5
FDO46,OUT010,1113.25
FDE52,OUT013,1422.0
NCH42,OUT045,3589.25
FDV08,OUT035,875.5
FDB47,OUT018,3046.0
FDC28,OUT010,0.0
FDD22,OUT046,1800.25
FDS07,OUT027,3324.5
DRI13,OUT045,3355.25
FDG32,OUT018,3299.5
FDU14,OUT017,4014.5
FDD28,OUT019,0.0
NCP41,OUT017,1849.25
FDS08,OUT049,2924.0
FDX47,OUT045,2497.5
FDC53,OUT019,0.0
FDQ19,OUT035,4072.75
FDL14,OUT045,2463.5
FDM33,OUT019,1573.5
FDA51,OUT045,1706.25
FDZ27,OUT018,456.25
FDT04,OUT046,640.0
DRC13,OUT049,2128.25
FDR16,OUT027,4852.75
FDQ03,OUT027,5268.0
FDE38,OUT035,2829.0
