Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1872.0
FDW14,OUT017,1458.0
NCN55,OUT010,1736.0
FDQ58,OUT017,2556.0
FDY38,OUT027,5144.0
FDH56,OUT046,1976.0
FDL48,OUT018,652.0
FDC48,OUT027,2704.0
FDN33,OUT045,1684.0
FDA36,OUT017,3024.0
FDT44,OUT017,1984.0
FDQ56,OUT045,1440.0
NCC54,OUT019,1992.0
FDU11,OUT049,2024.0
DRL59,OUT013,840.0
FDM24,OUT049,2592.0
FDI57,OUT045,2800.0
DRC12,OUT018,2820.0
NCM42,OUT027,3180.0
FDA46,OUT010,1154.0
FDA31,OUT013,2844.0
NCJ31,OUT035,3758.0
FDG52,OUT046,736.0
NCL19,OUT019,188.0
FDS10,OUT035,3000.0
FDX22,OUT010,1470.0
NCF19,OUT035,876.0
NCE06,OUT046,2588.0
DRC27,OUT046,3772.0
FDE21,OUT035,1972.0
NCR42,OUT019,0.0
FDX51,OUT018,3072.0
NCR06,OUT018,464.0
FDU31,OUT027,4984.0
FDU59,OUT017,2644.0
FDR03,OUT027,4892.0
FDS49,OUT027,2628.0
FDD48,OUT010,0.0
NCF18,OUT017,3150.0
NCD43,OUT027,3084.0
NCD54,OUT018,2080.0
FDY19,OUT010,0.0
NCY54,OUT017,2850.0
NCL19,OUT018,1920.0
FDP23,OUT010,1458.0
FDC26,OUT013,1756.0
FDR14,OUT010,0.0
NCS41,OUT035,3100.0
FDF41,OUT035,3988.0
FDU34,OUT046,2036.0
DRH11,OUT046,876.0
FDM03,OUT013,1876.0
FDS31,OUT017,3050.0
FDJ20,OUT017,2130.0
FDV44,OUT027,4520.0
FDG02,OUT049,3036.0
FDA09,OUT013,3008.0
FDT04,OUT013,624.0
FDL58,OUT019,2350.0
FDE52,OUT045,1496.0
FDW12,OUT035,2462.0
FDL51,OUT017,3496.0
NCY42,OUT027,3682.0
FDR07,OUT017,1648.0
FDN40,OUT045,2436.0
FDB35,OUT027,2904.0
FDA22,OUT017,2662.0
NCL06,OUT046,4200.0
FDI35,OUT013,2888.0
NCW42,OUT045,3606.0
NCX06,OUT049,3004.0
FDC37,OUT027,3140.0
FDZ14,OUT018,1712.0
DRG49,OUT049,3996.0
NCG06,OUT045,4152.0
DRC36,OUT045,2892.0
FDV21,OUT019,90.0
FDB53,OUT046,2332.0
DRP47,OUT019,2042.0
FDA14,OUT013,2280.0
DRC24,OUT035,2516.0
FDW21,OUT018,1468.0
NCH29,OUT046,1648.0
FDU58,OUT013,3140.0
FDY27,OUT017,2808.0
FDV56,OUT035,1934.0
FDT59,OUT046,3648.0
FDB23,OUT046,3644.0
FDR49,OUT045,724.0
FDB03,OUT010,1902.0
FDN39,OUT045,2912.0
FDX02,OUT027,4892.0
FDQ16,OUT027,3100.0
FDU35,OUT018,1316.0
NCT29,OUT013,2082.0
FDZ27,OUT046,700.0
FDN57,OUT017,2338.0
FDA03,OUT018,2092.0
FDZ36,OUT045,3076.0
NCU05,OUT013,1432.0
FDT39,OUT018,2372.0
FDK60,OUT017,1696.0
FDZ25,OUT017,2770.0
FDG12,OUT046,2020.0
DRB01,OUT019,1098.0
NCC43,OUT027,5414.0
FDX13,OUT019,1938.0
FDM22,OUT049,1072.0
FDJ03,OUT027,2208.0
FDU14,OUT018,3664.0
FDB33,OUT010,602.0
FDP27,OUT046,3168.0
FDO38,OUT010,0.0
FDE28,OUT027,5136.0
FDO27,OUT035,1814.0
DRL23,OUT027,3092.0
FDS28,OUT046,936.0
FDX24,OUT013,1504.0
FDZ02,OUT035,1622.0
FDL46,OUT045,1960.0
FDS60,OUT027,4268.0
NCO06,OUT017,630.0
FDO16,OUT035,1388.0
FDC60,OUT049,1572.0
FDA48,OUT018,3260.0
FDZ36,OUT027,4448.0
FDK27,OUT045,2108.0
FDW23,OUT018,376.0
FDM14,OUT018,1448.0
FDM14,OUT013,1696.0
FDW60,OUT018,2660.0
FDE21,OUT013,1924.0
NCM42,OUT035,1846.0
FDY59,OUT010,0.0
DRI49,OUT049,1408.0
FDT28,OUT019,434.0
FDQ22,OUT018,436.0
FDR60,OUT049,1332.0
FDC50,OUT019,0.0
FDV24,OUT013,2440.0
DRF48,OUT010,1018.0
FDQ47,OUT046,644.0
DRN36,OUT049,1660.0
NCY06,OUT035,2162.0
FDE52,OUT035,1520.0
NCB54,OUT045,2170.0
NCF31,OUT035,2534.0
FDJ08,OUT027,4460.0
NCC07,OUT017,1786.0
NCD19,OUT027,2298.0
FDL46,OUT049,2048.0
FDM20,OUT045,3990.0
NCI06,OUT010,932.0
DRM11,OUT035,4160.0
NCH07,OUT018,2304.0
FDS23,OUT013,2068.0
FDO49,OUT018,432.0
FDS35,OUT049,1128.0
DRK39,OUT045,1240.0
DRI39,OUT049,920.0
FDV04,OUT017,2612.0
NCN14,OUT035,2850.0
FDH08,OUT013,3732.0
FDS20,OUT046,2940.0
FDV40,OUT049,1280.0
FDZ48,OUT010,0.0
FDS24,OUT027,2900.0
FDK44,OUT049,2916.0
FDS48,OUT045,2448.0
FDK26,OUT010,1010.0
FDD23,OUT045,3094.0
NCH54,OUT017,2658.0
NCP14,OUT010,0.0
FDM60,OUT010,0.0
FDV24,OUT017,2460.0
FDH08,OUT018,3420.0
FDS12,OUT027,3444.0
FDR39,OUT027,4432.0
FDP12,OUT027,2076.0
DRF60,OUT027,5164.0
FDC09,OUT035,1836.0
FDF50,OUT018,2840.0
FDG28,OUT035,3996.0
NCE19,OUT017,970.0
NCM53,OUT010,0.0
NCN18,OUT049,1896.0
FDF32,OUT035,3284.0
FDF11,OUT013,3884.0
DRI59,OUT049,3648.0
NCG54,OUT035,2806.0
FDM44,OUT046,1652.0
FDT57,OUT018,3548.0
FDV24,OUT046,2400.0
FDI50,OUT019,1690.0
FDS09,OUT035,1014.0
NCC31,OUT027,3894.0
FDQ07,OUT019,1658.0
FDC22,OUT017,3218.0
FDZ56,OUT046,2732.0
FDZ40,OUT019,0.0
FDS46,OUT027,3416.0
DRD24,OUT045,2288.0
FDV45,OUT017,3108.0
FDL26,OUT045,2470.0
FDA56,OUT018,1748.0
FDN27,OUT046,2032.0
FDM20,OUT049,4028.0
FDO16,OUT017,1338.0
FDL03,OUT035,3416.0
FDE58,OUT046,1908.0
FDI02,OUT027,3220.0
NCC55,OUT019,0.0
FDR03,OUT018,3252.0
FDB14,OUT017,1560.0
FDR45,OUT013,3896.0
NCN07,OUT017,1994.0
FDM51,OUT019,0.0
FDT52,OUT027,5340.0
FDL26,OUT046,2400.0
NCZ42,OUT046,3820.0
DRI47,OUT019,350.0
FDW40,OUT013,2324.0
FDN34,OUT046,2812.0
FDS01,OUT035,2852.0
NCG55,OUT045,1934.0
FDC11,OUT035,1458.0
FDX35,OUT018,3404.0
NCB06,OUT046,2662.0
FDR09,OUT019,2234.0
FDC53,OUT017,1564.0
FDY45,OUT013,4128.0
FDA22,OUT010,682.0
FDE02,OUT035,1532.0
FDW21,OUT045,1764.0
FDV34,OUT046,1292.0
FDS59,OUT049,1908.0
NCW17,OUT017,2206.0
NCK54,OUT046,1896.0
FDG17,OUT019,1978.0
FDG35,OUT017,2872.0
FDD08,OUT010,0.0
NCO07,OUT017,3266.0
FDJ10,OUT010,406.0
FDW36,OUT017,1718.0
FDW21,OUT010,0.0
FDY19,OUT017,1982.0
DRE03,OUT013,680.0
NCC55,OUT049,748.0
FDH52,OUT010,0.0
FDO09,OUT017,4380.0
FDU43,OUT045,3974.0
FDX09,OUT010,850.0
FDH40,OUT019,0.0
FDW58,OUT017,1770.0
FDC47,OUT017,3710.0
NCR41,OUT035,1698.0
DRG49,OUT035,3962.0
FDC52,OUT027,3844.0
FDY13,OUT046,1128.0
FDY35,OUT013,808.0
FDI35,OUT017,2922.0
NCU18,OUT049,2388.0
FDY33,OUT018,2396.0
FDC15,OUT027,3856.0
FDU01,OUT049,3092.0
NCU42,OUT046,2720.0
NCV29,OUT018,2688.0
NCY30,OUT017,3002.0
FDQ46,OUT049,1924.0
FDG58,OUT027,3972.0
FDK33,OUT017,3490.0
NCD07,OUT045,1916.0
NCX29,OUT027,3810.0
NCT42,OUT013,2412.0
DRN59,OUT035,788.0
FDI44,OUT035,1382.0
FDA45,OUT049,2988.0
FDP31,OUT045,1224.0
FDY01,OUT046,1852.0
FDT09,OUT018,1988.0
DRH03,OUT027,2808.0
FDA36,OUT018,2720.0
NCF31,OUT017,2522.0
FDG14,OUT049,2524.0
FDG28,OUT027,5348.0
FDU14,OUT049,4016.0
FDY47,OUT019,202.0
FDI56,OUT049,1576.0
DRD01,OUT013,1016.0
FDM22,OUT046,1000.0
FDH33,OUT013,752.0
DRZ24,OUT013,1916.0
NCQ38,OUT046,1538.0
FDO16,OUT027,2708.0
FDU07,OUT027,3820.0
NCB07,OUT013,3160.0
FDU48,OUT045,2164.0
NCM43,OUT045,2534.0
FDR31,OUT010,438.0
DRK49,OUT018,420.0
NCI30,OUT010,1960.0
DRD60,OUT017,2942.0
NCG19,OUT046,3776.0
FDH12,OUT035,1754.0
FDM32,OUT035,1588.0
FDM27,OUT035,2784.0
NCU53,OUT027,4144.0
NCQ18,OUT046,1614.0
FDS10,OUT013,2928.0
FDB33,OUT027,3956.0
FDI12,OUT013,1480.0
NCW42,OUT013,3586.0
NCC06,OUT018,1840.0
FDW02,OUT017,2066.0
NCD43,OUT017,1746.0
FDM57,OUT018,1196.0
FDA58,OUT017,3856.0
FDK56,OUT046,2976.0
FDP52,OUT045,3774.0
FDW20,OUT018,1776.0
FDS52,OUT049,1668.0
NCT29,OUT018,1768.0
NCL54,OUT013,2870.0
FDC05,OUT045,3246.0
FDF34,OUT035,3320.0
FDP03,OUT027,3604.0
FDD32,OUT010,0.0
FDZ10,OUT045,2122.0
FDZ40,OUT035,908.0
FDD51,OUT018,392.0
NCY30,OUT019,956.0
FDP58,OUT017,3558.0
FDV49,OUT017,4188.0
FDY24,OUT019,0.0
NCO55,OUT017,1626.0
FDR13,OUT017,1928.0
FDS51,OUT017,1192.0
FDP26,OUT045,1646.0
NCB54,OUT027,3570.0
FDF32,OUT017,3230.0
FDN31,OUT018,2796.0
DRM48,OUT017,644.0
FDN20,OUT049,2836.0
DRL01,OUT046,3792.0
FDV56,OUT049,1932.0
DRH13,OUT027,3124.0
FDA03,OUT017,2394.0
FDF47,OUT027,4952.0
FDX32,OUT046,2448.0
FDX57,OUT049,1768.0
NCA30,OUT045,3116.0
FDO49,OUT013,712.0
FDL04,OUT019,0.0
DRM48,OUT035,684.0
FDR16,OUT013,3444.0
NCC19,OUT018,2840.0
NCE42,OUT045,3830.0
FDY24,OUT017,1012.0
FDH19,OUT049,3044.0
FDJ46,OUT013,2824.0
FDN45,OUT010,1650.0
FDY08,OUT035,2418.0
FDZ37,OUT035,1472.0
NCT30,OUT045,834.0
DRY23,OUT018,508.0
NCZ30,OUT018,1720.0
FDC44,OUT018,1600.0
FDB45,OUT035,1792.0
FDY04,OUT013,2680.0
FDM27,OUT046,2748.0
FDZ43,OUT017,4002.0
FDT39,OUT019,670.0
NCC06,OUT019,116.0
FDL15,OUT027,4000.0
FDL57,OUT017,4268.0
FDU08,OUT046,1608.0
FDK40,OUT017,4210.0
FDQ12,OUT010,1678.0
FDS48,OUT017,2470.0
FDP09,OUT045,3464.0
FDW21,OUT049,1792.0
FDY25,OUT035,2896.0
DRE13,OUT017,1416.0
FDV43,OUT019,0.0
FDD22,OUT045,1864.0
FDM46,OUT019,0.0
NCO30,OUT010,1012.0
FDM25,OUT046,2652.0
NCN41,OUT049,2172.0
FDU24,OUT045,1612.0
FDZ50,OUT046,2936.0
FDP45,OUT013,4148.0
NCM54,OUT045,2094.0
FDW10,OUT019,898.0
FDP20,OUT017,2138.0
FDK32,OUT046,2524.0
FDN52,OUT049,1544.0
FDM58,OUT045,1940.0
FDZ46,OUT027,3208.0
NCA18,OUT018,1648.0
FDD35,OUT046,1912.0
NCK31,OUT035,730.0
FDI40,OUT027,3056.0
FDT50,OUT019,0.0
NCT06,OUT046,2656.0
FDT31,OUT035,3110.0
FDT45,OUT049,996.0
FDT13,OUT045,2962.0
FDO50,OUT045,1442.0
NCU18,OUT010,308.0
NCR54,OUT049,3240.0
NCO18,OUT018,2624.0
FDU09,OUT045,1062.0
FDT13,OUT018,2676.0
FDE09,OUT046,1820.0
NCK53,OUT019,0.0
FDG45,OUT049,3524.0
DRH15,OUT035,680.0
FDO21,OUT019,1738.0
FDD14,OUT027,4288.0
FDC09,OUT046,1756.0
FDH45,OUT027,2224.0
FDV32,OUT046,1072.0
FDG12,OUT035,2052.0
FDS32,OUT013,2384.0
NCL55,OUT018,3600.0
DRE01,OUT035,3948.0
DRE15,OUT049,1216.0
NCL42,OUT045,4010.0
FDP31,OUT013,1180.0
FDN33,OUT018,1356.0
FDZ59,OUT046,2696.0
FDE45,OUT010,902.0
FDJ07,OUT013,2052.0
FDQ45,OUT018,2800.0
FDM33,OUT027,4932.0
FDO15,OUT010,0.0
FDM46,OUT013,1540.0
FDR03,OUT045,3540.0
FDY49,OUT018,2424.0
FDQ60,OUT045,2016.0
FDW10,OUT049,2952.0
FDO51,OUT049,1036.0
FDJ40,OUT018,1536.0
FDS20,OUT018,2684.0
FDU45,OUT013,1944.0
FDV02,OUT035,2712.0
FDN09,OUT046,3888.0
NCM55,OUT027,4240.0
FDN23,OUT018,2112.0
FDY31,OUT010,370.0
FDW03,OUT010,0.0
FDD14,OUT046,2864.0
FDV23,OUT017,2040.0
DRI03,OUT045,2716.0
FDN13,OUT035,1484.0
FDF45,OUT027,2488.0
FDU46,OUT035,1590.0
FDB57,OUT049,3760.0
FDV12,OUT049,1780.0
FDQ58,OUT013,2468.0
NCA18,OUT017,1930.0
FDH52,OUT049,1128.0
FDM24,OUT018,2220.0
NCP43,OUT027,4154.0
NCO18,OUT019,896.0
FDM32,OUT017,1558.0
NCL07,OUT017,530.0
FDK03,OUT013,4068.0
FDP59,OUT017,1760.0
FDQ24,OUT049,4092.0
FDQ16,OUT018,1476.0
FDU44,OUT013,2700.0
FDH28,OUT010,0.0
FDV28,OUT019,0.0
FDM22,OUT045,1030.0
FDR56,OUT046,3236.0
FDV39,OUT049,3372.0
FDU37,OUT019,0.0
FDQ11,OUT010,2158.0
FDX02,OUT045,3538.0
