Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1733.9762299999982
FDW14,OUT017,1276.0589639999992
NCN55,OUT010,699.6625880000001
FDQ58,OUT017,2043.7197059999996
FDY38,OUT027,6372.744648000002
FDH56,OUT046,2111.8843100000017
FDL48,OUT018,651.1856900000001
FDC48,OUT027,1818.712596000001
FDN33,OUT045,1273.2958939999994
FDA36,OUT017,2626.9605060000013
FDT44,OUT017,1694.1014680000005
FDQ56,OUT045,1549.6361840000004
NCC54,OUT019,766.3424579999996
FDU11,OUT049,1793.9248619999996
DRL59,OUT013,751.8147020000001
FDM24,OUT049,2416.041724000001
FDI57,OUT045,4339.085180000004
DRC12,OUT018,3210.081461999999
NCM42,OUT027,2629.0378020000007
FDA46,OUT010,503.07182200000005
FDA31,OUT013,2579.3092000000015
NCJ31,OUT035,3615.067628
FDG52,OUT046,713.0251939999999
NCL19,OUT019,382.36228200000005
FDS10,OUT035,2945.1929319999986
FDX22,OUT010,447.98353000000026
NCF19,OUT035,694.9354079999998
NCE06,OUT046,2172.6984819999993
DRC27,OUT046,3327.868139999999
FDE21,OUT035,1813.8855459999995
NCR42,OUT019,59.862078000000004
FDX51,OUT018,2477.488406
NCR06,OUT018,385.910996
FDU31,OUT027,5407.254751999999
FDU59,OUT017,2062.2888679999987
FDR03,OUT027,5507.084804000001
FDS49,OUT027,2609.9493159999984
FDD48,OUT010,263.7766439999999
NCF18,OUT017,3424.8352520000003
NCD43,OUT027,2773.483111999999
NCD54,OUT018,2055.2380460000004
FDY19,OUT010,205.77880600000003
NCY54,OUT017,2347.9104100000022
NCL19,OUT018,2033.2266979999993
FDP23,OUT010,435.83267999999987
FDC26,OUT013,1715.9863139999989
FDR14,OUT010,133.62606
NCS41,OUT035,2909.652527999999
FDF41,OUT035,4425.399492000001
FDU34,OUT046,2169.9820180000006
DRH11,OUT046,863.5958639999999
FDM03,OUT013,2236.7817319999995
FDS31,OUT017,3366.9372839999996
FDJ20,OUT017,1732.3982840000003
FDV44,OUT027,5063.448947999999
FDG02,OUT049,3010.767573999998
FDA09,OUT013,3960.384798000001
FDT04,OUT013,539.3312899999999
FDL58,OUT019,592.7417659999996
FDE52,OUT045,1410.410746
FDW12,OUT035,2625.8952260000015
FDL51,OUT017,3513.606365999995
NCY42,OUT027,2494.6727039999996
FDR07,OUT017,1496.3255780000002
FDN40,OUT045,2475.038261999999
FDB35,OUT027,2731.464474
FDA22,OUT017,2489.8190219999988
NCL06,OUT046,4590.165017999999
FDI35,OUT013,3686.441388
NCW42,OUT045,4166.263474
NCX06,OUT049,3134.233525999999
FDC37,OUT027,2434.9038379999997
FDZ14,OUT018,1847.9212419999997
DRG49,OUT049,5344.3033620000015
NCG06,OUT045,3730.124525999999
DRC36,OUT045,2821.5006080000007
FDV21,OUT019,513.4116960000001
FDB53,OUT046,3299.751406000001
DRP47,OUT019,505.80160200000034
FDA14,OUT013,2103.022511999999
DRC24,OUT035,2927.4959680000006
FDW21,OUT018,1412.1618000000003
NCH29,OUT046,1883.3284859999999
FDU58,OUT013,3563.3882319999975
FDY27,OUT017,2380.7210340000006
FDV56,OUT035,1305.7736180000009
FDT59,OUT046,4371.875830000003
FDB23,OUT046,3841.7725280000027
FDR49,OUT045,731.1815600000004
FDB03,OUT010,616.6506439999995
FDN39,OUT045,2996.166579999999
FDX02,OUT027,5437.581941999999
FDQ16,OUT027,2537.3571419999994
FDU35,OUT018,1621.5159520000002
NCT29,OUT013,1421.2299959999991
FDZ27,OUT046,715.6284719999996
FDN57,OUT017,2434.178115999999
FDA03,OUT018,2240.6833200000005
FDZ36,OUT045,3267.666503999998
NCU05,OUT013,1247.2897460000004
FDT39,OUT018,2162.012392
FDK60,OUT017,1682.1436999999999
FDZ25,OUT017,3264.8768020000007
FDG12,OUT046,2683.2339219999994
DRB01,OUT019,509.2304720000004
NCC43,OUT027,5963.184435999994
FDX13,OUT019,565.0844340000002
FDM22,OUT049,895.93377
FDJ03,OUT027,1449.712920000001
FDU14,OUT018,4609.293451999999
FDB33,OUT010,429.1081
FDP27,OUT046,3729.2456699999993
FDO38,OUT010,180.118874
FDE28,OUT027,6902.568314
FDO27,OUT035,1527.0655640000002
DRL23,OUT027,2305.139417999999
FDS28,OUT046,859.84741
FDX24,OUT013,1239.3134619999994
FDZ02,OUT035,1179.0918519999998
FDL46,OUT045,1499.3549680000003
FDS60,OUT027,4640.606025999998
NCO06,OUT017,480.44128000000006
FDO16,OUT035,1674.060888
FDC60,OUT049,1899.6605600000007
FDA48,OUT018,3917.154404000001
FDZ36,OUT027,3923.3396860000003
FDK27,OUT045,1737.1321219999988
FDW23,OUT018,493.5508819999997
FDM14,OUT018,1335.1820040000007
FDM14,OUT013,1572.7194700000007
FDW60,OUT018,2994.6019500000007
FDE21,OUT013,1713.7692000000002
NCM42,OUT035,1617.6543120000008
FDY59,OUT010,192.36959400000015
DRI49,OUT049,1523.2105820000004
FDT28,OUT019,268.543772
FDQ22,OUT018,462.26494000000025
FDR60,OUT049,1138.531315999999
FDC50,OUT019,289.6629479999998
FDV24,OUT013,2382.492061999999
DRF48,OUT010,605.7781299999999
FDQ47,OUT046,686.2533759999999
DRN36,OUT049,1556.4539760000005
NCY06,OUT035,2138.875841999999
FDE52,OUT035,1455.625224000001
NCB54,OUT045,1591.5882419999991
NCF31,OUT035,2484.1397480000005
FDJ08,OUT027,5236.570264
NCC07,OUT017,1582.7064699999996
NCD19,OUT027,1748.1045060000013
FDL46,OUT049,2020.1969920000001
FDM20,OUT045,4593.360858
NCI06,OUT010,389.31323399999997
DRM11,OUT035,4225.639518000001
NCH07,OUT018,2136.805204
FDS23,OUT013,2177.7452460000018
FDO49,OUT018,678.4102520000004
FDS35,OUT049,995.3443680000001
DRK39,OUT045,1235.5516919999995
DRI39,OUT049,847.4502139999993
FDV04,OUT017,1649.3530499999993
NCN14,OUT035,3035.668493999998
FDH08,OUT013,4124.3979700000045
FDS20,OUT046,3309.172476000001
FDV40,OUT049,974.7045680000004
FDZ48,OUT010,211.87753400000017
FDS24,OUT027,2300.259104000001
FDK44,OUT049,2163.3506500000008
FDS48,OUT045,2277.1625019999997
FDK26,OUT010,855.486419999999
FDD23,OUT045,3359.3405059999996
NCH54,OUT017,2881.302764000001
NCP14,OUT010,208.86811799999998
FDM60,OUT010,104.58386399999999
FDV24,OUT017,2416.734156
FDH08,OUT018,3432.838168000002
FDS12,OUT027,3631.3064900000004
FDR39,OUT027,4798.613681999996
FDP12,OUT027,970.6698200000005
DRF60,OUT027,5361.987010000001
FDC09,OUT035,1585.243168000001
FDF50,OUT018,3235.901186
FDG28,OUT035,3630.9402999999975
NCE19,OUT017,876.1262199999996
NCM53,OUT010,282.5388880000001
NCN18,OUT049,1498.536034
FDF32,OUT035,3548.640762000001
FDF11,OUT013,3455.3488660000016
DRI59,OUT049,3735.504189999999
NCG54,OUT035,2538.8219019999988
FDM44,OUT046,1450.2255860000005
FDT57,OUT018,2098.441808000002
FDV24,OUT046,2370.8006139999998
FDI50,OUT019,507.74573800000013
FDS09,OUT035,841.7443080000006
NCC31,OUT027,3471.1749319999985
FDQ07,OUT019,634.7271139999998
FDC22,OUT017,3253.005587999998
FDZ56,OUT046,2792.851234
FDZ40,OUT019,175.33843000000005
FDS46,OUT027,2430.2365799999993
DRD24,OUT045,1737.398441999998
FDV45,OUT017,3269.6039819999983
FDL26,OUT045,3350.372179999998
FDA56,OUT018,1481.218576
FDN27,OUT046,1839.751876
FDM20,OUT049,5156.920610000002
FDO16,OUT017,1839.7785080000017
FDL03,OUT035,3043.897781999998
FDE58,OUT046,2128.489362
FDI02,OUT027,3537.3887419999996
NCC55,OUT019,50.887094000000005
FDR03,OUT018,3495.7496099999994
FDB14,OUT017,1446.543711999999
FDR45,OUT013,4760.942718000003
NCN07,OUT017,2144.481878
FDM51,OUT019,238.52285000000012
FDT52,OUT027,6803.996623999996
FDL26,OUT046,3062.7066319999985
NCZ42,OUT046,4129.471365999999
DRI47,OUT019,412.689472
FDW40,OUT013,2353.6362899999995
FDN34,OUT046,3745.298108000003
FDS01,OUT035,3212.3651560000003
NCG55,OUT045,1744.415973999999
FDC11,OUT035,1192.9671240000007
FDX35,OUT018,2696.0372559999987
NCB06,OUT046,2148.6431280000015
FDR09,OUT019,533.8983620000004
FDC53,OUT017,1454.5466279999998
FDY45,OUT013,4035.5003540000016
FDA22,OUT010,404.4535259999998
FDE02,OUT035,1946.7991999999995
FDW21,OUT045,1622.8675259999998
FDV34,OUT046,1292.8371240000001
FDS59,OUT049,2150.161151999998
NCW17,OUT017,2653.8854579999984
NCK54,OUT046,2036.489118000001
FDG17,OUT019,477.4185480000004
FDG35,OUT017,3907.5402520000025
FDD08,OUT010,81.66037000000001
NCO07,OUT017,4475.314518
FDJ10,OUT010,312.89270999999997
FDW36,OUT017,1710.2404599999995
FDW21,OUT010,220.77262199999998
FDY19,OUT017,2092.229894000001
DRE03,OUT013,643.6554919999995
NCC55,OUT049,813.6076000000003
FDH52,OUT010,132.8936800000001
FDO09,OUT017,4735.742188000002
FDU43,OUT045,3923.1199719999963
FDX09,OUT010,342.24783200000024
FDH40,OUT019,250.32082599999978
FDW58,OUT017,1842.142097999999
FDC47,OUT017,4972.067898000003
NCR41,OUT035,1403.399872
DRG49,OUT035,5322.285356000002
FDC52,OUT027,4070.042058000002
FDY13,OUT046,1375.0035019999998
FDY35,OUT013,825.5720259999995
FDI35,OUT017,4693.830078000001
NCU18,OUT049,2503.6942940000004
FDY33,OUT018,2678.852958000001
FDC15,OUT027,3605.4068700000016
FDU01,OUT049,3568.42168
NCU42,OUT046,3448.9971340000006
NCV29,OUT018,2309.1475339999997
NCY30,OUT017,2892.6613120000006
FDQ46,OUT049,1688.0759779999996
FDG58,OUT027,3799.3544100000026
FDK33,OUT017,4376.057053999997
NCD07,OUT045,1024.8925719999993
NCX29,OUT027,3477.5732700000012
NCT42,OUT013,2250.9100080000007
DRN59,OUT035,714.5099279999998
FDI44,OUT035,1414.6785239999997
FDA45,OUT049,2188.431336000001
FDP31,OUT045,868.8490260000003
FDY01,OUT046,1704.7276359999994
FDT09,OUT018,2010.0035940000002
DRH03,OUT027,1986.7072519999983
FDA36,OUT018,2121.4052500000007
NCF31,OUT017,2051.609436000001
FDG14,OUT049,3102.388311999998
FDG28,OUT027,6712.382543999997
FDU14,OUT049,4185.911232000001
FDY47,OUT019,237.23119799999978
FDI56,OUT049,1421.156758
DRD01,OUT013,643.6821240000002
FDM22,OUT046,1259.3939900000005
FDH33,OUT013,633.661834
DRZ24,OUT013,2441.162357999999
NCQ38,OUT046,1726.659088
FDO16,OUT027,1988.8577859999996
FDU07,OUT027,3768.2548919999995
NCB07,OUT013,2206.674255999999
FDU48,OUT045,1384.0517239999986
NCM43,OUT045,2473.0275460000007
FDR31,OUT010,259.8084759999999
DRK49,OUT018,353.33340200000004
NCI30,OUT010,614.872958
DRD60,OUT017,3454.117136000001
NCG19,OUT046,3404.0889239999983
FDH12,OUT035,1709.9475080000004
FDM32,OUT035,1390.976044
FDM27,OUT035,2921.3972399999993
NCU53,OUT027,3479.0513459999997
NCQ18,OUT046,1803.4125119999992
FDS10,OUT013,2690.0450560000004
FDB33,OUT027,4674.548510000003
FDI12,OUT013,1406.981876
NCW42,OUT013,4180.331828000001
NCC06,OUT018,2060.6310259999996
FDW02,OUT017,2719.6398660000004
NCD43,OUT017,1643.9400960000005
FDM57,OUT018,1090.6003739999996
FDA58,OUT017,3325.7975019999994
FDK56,OUT046,3570.319209999999
FDP52,OUT045,4028.5027960000048
FDW20,OUT018,1896.4647200000006
FDS52,OUT049,1597.2608580000015
NCT29,OUT018,1700.0204299999996
NCL54,OUT013,3213.8498900000004
FDC05,OUT045,2272.8281439999987
FDF34,OUT035,3105.8904199999997
FDP03,OUT027,3178.5158839999995
FDD32,OUT010,185.45193200000008
FDZ10,OUT045,2160.061597999999
FDZ40,OUT035,908.9168700000004
FDD51,OUT018,422.4367839999999
NCY30,OUT019,446.35232000000013
FDP58,OUT017,3390.4466820000007
FDV49,OUT017,4482.458552000001
FDY24,OUT019,160.41785199999987
NCO55,OUT017,1647.6752340000003
FDR13,OUT017,1725.6337560000002
FDS51,OUT017,957.613482
FDP26,OUT045,1162.1805319999994
NCB54,OUT027,4337.607104000001
FDF32,OUT017,3137.9087419999996
FDN31,OUT018,2447.234453999999
DRM48,OUT017,881.1729839999998
FDN20,OUT049,2840.549146000001
DRL01,OUT046,3574.4871180000005
FDV56,OUT049,1345.0358440000011
DRH13,OUT027,2414.1907999999994
FDA03,OUT017,2582.2387200000007
FDF47,OUT027,6680.996732000005
FDX32,OUT046,2863.366112000001
FDX57,OUT049,1827.9405840000018
NCA30,OUT045,2928.461377999999
FDO49,OUT013,757.3941060000003
FDL04,OUT019,234.5413659999999
DRM48,OUT035,828.0754339999999
FDR16,OUT013,4344.811059999998
NCC19,OUT018,3512.1615799999972
NCE42,OUT045,2900.2181420000006
FDY24,OUT017,1145.102762
FDH19,OUT049,2375.7541659999993
FDJ46,OUT013,2425.209790000002
FDN45,OUT010,691.8194639999997
FDY08,OUT035,2532.1572439999986
FDZ37,OUT035,1478.4821379999996
NCT30,OUT045,776.4759339999997
DRY23,OUT018,440.8794439999998
NCZ30,OUT018,1789.1777079999995
FDC44,OUT018,1576.0018639999998
FDB45,OUT035,1593.3392960000003
FDY04,OUT013,2182.52569
FDM27,OUT046,2887.914158000002
FDZ43,OUT017,4625.572261999999
FDT39,OUT019,433.20942800000034
NCC06,OUT019,306.7939820000001
FDL15,OUT027,3962.8482579999995
FDL57,OUT017,5220.378008000002
FDU08,OUT046,1233.5875819999994
FDK40,OUT017,4271.100342000004
FDQ12,OUT010,585.5977320000001
FDS48,OUT017,2810.1686920000006
FDP09,OUT045,4585.3246519999975
FDW21,OUT049,1565.934968
FDY25,OUT035,3959.8188679999985
DRE13,OUT017,1294.1088019999997
FDV43,OUT019,89.883
FDD22,OUT045,1982.5260279999993
FDM46,OUT019,323.28584800000016
NCO30,OUT010,494.2100239999995
FDM25,OUT046,2912.3889660000013
NCN41,OUT049,2056.722780000001
FDU24,OUT045,2046.1898239999996
FDZ50,OUT046,3294.065473999999
FDP45,OUT013,3221.3001920000015
NCM54,OUT045,1836.7690919999995
FDW10,OUT019,504.79624400000023
FDP20,OUT017,1595.4232499999996
FDK32,OUT046,2646.2487320000014
FDN52,OUT049,1189.4117520000002
FDM58,OUT045,2594.695838000001
FDZ46,OUT027,3300.943188
NCA18,OUT018,1716.3991099999992
FDD35,OUT046,1997.380025999999
NCK31,OUT035,706.0342939999998
FDI40,OUT027,3083.2798519999988
FDT50,OUT019,202.64954600000002
NCT06,OUT046,2600.88112
FDT31,OUT035,2938.6814080000004
FDT45,OUT049,919.7560939999997
FDT13,OUT045,3091.8753299999976
FDO50,OUT045,1460.6719879999998
NCU18,OUT010,369.1861
NCR54,OUT049,3159.613821999999
NCO18,OUT018,2585.9272520000004
FDU09,OUT045,809.3930859999997
FDT13,OUT018,2871.3224219999997
FDE09,OUT046,1776.1546600000004
NCK53,OUT019,337.16777800000017
FDG45,OUT049,3688.225731999998
DRH15,OUT035,835.4192080000005
FDO21,OUT019,596.5900899999998
FDD14,OUT027,6200.402318
FDC09,OUT046,1419.2858600000009
FDH45,OUT027,955.6094239999995
FDV32,OUT046,1215.9571979999996
FDG12,OUT035,2102.336737999999
FDS32,OUT013,1797.4136539999997
NCL55,OUT018,3484.351114
DRE01,OUT035,4555.283756000001
