Publication_Hardcover,Publication_Paperback,Publication_other,BookCategory_Action & Adventure,"BookCategory_Arts, Film & Photography","BookCategory_Biographies, Diaries & True Accounts",BookCategory_Comics & Mangas,"BookCategory_Computing, Internet & Digital Media","BookCategory_Crime, Thriller & Mystery",BookCategory_Humour,"BookCategory_Language, Linguistics & Writing",BookCategory_Politics,BookCategory_Romance,BookCategory_Sports,Reviews,Ratings,Age_of_book,Price
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.0,8,6,220.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.9,14,10,202.93
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.8,6,40,299.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.1,13,5,180.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,1,16,965.62
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5,8,13,900.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.4,72,5,224.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.7,16,4,836.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.2,111,7,130.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.0,1,9,695.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.9,132,5,373.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.5,17,4,309.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.1,4,23,379.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,3,20,1066.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.8,5,11,381.22
0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,2,7,287.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,4,162.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.9,23,6,587.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.5,76,31,291.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.3,5,6,352.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.9,10,4,339.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,2,4,309.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.1,2,10,262.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.1,10,8,607.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.8,9,10,536.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,1,11,621.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.3,15,6,286.98
0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.3,34,8,3779.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,17,8,802.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.0,9,33,588.26
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.0,32,9,340.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.9,2,7,799.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.4,49,22,395.1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2,49,17,225.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3,10,6,1780.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.3,8,3,309.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.4,62,8,559.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.9,61,13,224.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,16,565.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.6,8,9,511.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0,7,9,144.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.7,5,9,1455.9
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.8,18,14,645.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.5,16,7,427.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.6,6,3,560.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,3,8,395.1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.0,2,16,386.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.1,98,8,226.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.8,12,10,303.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.8,14,10,1383.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.8,3,5,235.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.4,97,6,427.0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.0,1,4,587.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.6,7,22,262.0
