Publication_Hardcover,Publication_Paperback,Publication_other,Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory,Price,Age_of_book
0,1,0,1,4,431,4.0,8,1,1183,1036,220.0,6
0,1,0,2,2,446,3.9,14,2,92,732,202.93,10
0,1,0,3,3,366,4.8,6,3,25,670,299.0,40
0,1,0,1,87,559,4.1,13,1,325,878,180.0,5
1,0,0,1,1,117,5.0,1,1,47,638,965.62,16
0,1,0,1,3,486,4.5,8,1,83,614,900.0,13
0,1,0,1,87,559,4.4,72,1,335,878,224.0,5
1,0,0,2,3,13,4.7,16,2,80,614,836.0,4
0,1,0,1,1,334,4.2,111,1,463,732,130.0,7
0,1,0,3,3,431,4.0,1,3,1183,1036,695.0,9
0,1,0,1,2,478,4.9,132,1,61,733,373.0,5
0,1,0,1,1,59,3.5,17,1,9,648,309.0,4
0,1,0,1,7,428,4.1,4,1,1183,1036,379.0,23
0,1,0,1,1,446,5.0,3,1,61,614,1066.0,20
0,1,0,3,4,493,3.8,5,3,1183,702,381.22,11
0,1,0,1,1,366,5.0,2,1,244,744,287.0,7
1,0,0,1,1,58,5.0,1,1,7,878,162.0,4
0,1,0,1,2,446,4.9,23,1,234,744,587.0,6
0,0,1,1,1,18,4.5,76,1,463,732,291.0,31
0,1,0,1,1,385,4.3,5,1,10,648,352.0,6
1,0,0,2,2,93,4.9,10,1,1183,1036,339.0,4
0,1,0,2,13,50,5.0,2,2,463,614,309.0,4
0,1,0,2,7,428,3.1,2,2,1183,1036,262.0,10
0,1,0,1,1,446,3.1,10,1,64,648,607.0,8
0,1,0,1,1,380,4.8,9,1,8,733,536.0,10
1,0,0,1,1,1,4.0,1,1,4,402,621.0,11
0,1,0,1,1,431,4.3,15,1,35,614,286.98,6
0,1,0,1,7,2,4.3,34,1,76,744,3779.0,8
1,0,0,1,1,91,5.0,17,1,1,614,802.0,8
0,1,0,1,1,442,5.0,9,1,463,732,588.26,33
0,1,0,1,26,446,4.0,32,1,325,878,340.0,9
0,1,0,1,1,428,3.9,2,1,40,670,799.0,7
0,1,0,1,1,559,4.4,49,1,1,732,395.1,22
0,1,0,1,33,493,4.2,49,1,517,702,225.0,17
1,0,0,2,2,79,4.3,10,2,120,744,1780.0,6
0,1,0,1,4,385,4.3,8,1,325,878,309.0,3
0,1,0,3,5,435,4.4,62,2,47,733,559.0,8
0,1,0,1,1,442,3.9,61,1,25,732,224.0,13
