Departure_CITY,Arrival_CITY,COUPON,VACATION,Departure_avg_INCOME,Arrival_avg_INCOME,Departure_avg_population,Arrival_avg_population,SLOT,GATE,DISTANCE,PAX,FARE
Dallas/Fort Worth   TX,Amarillo            TX,1,No,28637,21112,3036732,205711,Free,Free,312,7864,64.11
Atlanta             GA,Baltimore/Wash Intl MD,1.06,No,26993,29838,3532657,7145897,Free,Free,576,8820,174.47
Boston              MA,Baltimore/Wash Intl MD,1.06,No,30124,29838,5787293,7145897,Free,Free,364,6452,207.76
Chicago             IL,Baltimore/Wash Intl MD,1.06,No,29260,29838,7830332,7145897,Controlled,Free,612,25144,85.47
Chicago             IL,Baltimore/Wash Intl MD,1.06,No,29260,29838,7830332,7145897,Free,Free,612,25144,85.47
Cleveland           OH,Baltimore/Wash Intl MD,1.01,No,26046,29838,2230955,7145897,Free,Free,309,13386,56.76
Dallas/Fort Worth   TX,Baltimore/Wash Intl MD,1.28,No,28637,29838,3036732,7145897,Free,Free,1220,4625,228
Fort Lauderdale     FL,Baltimore/Wash Intl MD,1.15,Yes,26752,29838,1440377,7145897,Free,Free,921,5512,116.54
Houston             TX,Baltimore/Wash Intl MD,1.33,No,27211,29838,3770125,7145897,Free,Free,1249,7811,172.63
Kansas City         MO,Baltimore/Wash Intl MD,1.6,No,25450,29838,1694803,7145897,Free,Free,964,4657,114.76
Las Vegas           NV,Baltimore/Wash Intl MD,1.57,Yes,24575,29838,1197234,7145897,Free,Free,2104,4489,158.2
Los Angeles         CA,Baltimore/Wash Intl MD,1.5,No,24706,29838,9056076,7145897,Free,Free,2329,7349,228.99
Nashville           TN,Baltimore/Wash Intl MD,1.12,No,25995,29838,1115048,7145897,Free,Free,587,5654,79.17
New Orleans         LA,Baltimore/Wash Intl MD,1.29,No,22038,29838,1308499,7145897,Free,Free,992,3525,132.05
New York/Newark     NY,Baltimore/Wash Intl MD,1,No,32991,29838,8621121,7145897,Controlled,Free,181,7171,117.23
New York/Newark     NY,Baltimore/Wash Intl MD,1,No,32991,29838,8621121,7145897,Controlled,Free,181,7171,117.23
